name,address,earnings,totalClaimed,totalAirdropped,totalTheoreticalRewards,rewardsOwed,rewardsOwedNormalized
Libertus,0x56221AaF897207f628cFb4cd6c1231d59de17F39,1039178895018794400000,21626736834808186400000,0,17948457304526748971192,-4717458425300231828808,-4717.458425300231
Blockchain.com,0x7E2E80E8250844Dd4E558f13850380D5af8F0C61,280472173657089408400,11381495163665845362800,0,11527884065843621399176,-134083271479313372024,-134.08327147931337
Blockchain.com 2,0x22726A97166DD6A3660001E36CEd43A8749cD938,0,0,0,0,0,0
Family Office,0x009fDDE3E654Cb2495135708dc1590daeFb14Ea7,7547470180445154000000,0,0,6275964506172839506172,-1271505674272314493828,-1271.5056742723145
Free Co SPV,0x7D3Ac751898bAAd6183b8bC31DF30Ae84908aF0A,0,0,0,0,0,0
Free Co SPV 2,0xC64Dc1EcF67C0e60d2C2e609A6bD30b2F01D30BC,0,0,0,0,0,0
LD Capital,0xc3C14f31C8Db2417d1695Fa6C8bebe8F2804677e,1149313626081492000000,6765645621656671000000,0,6500501543209876543208,-1414457704528286456792,-1414.4577045282865
Dragonfly Capital,0xbEA07b01E8Fe3936A3D206158521A87addB65cfE,8257952787526791000000,0,0,6720479681069958847736,-1537473106456832152264,-1537.473106456832
Cluster Capital SPV,0xd7F87cCc655f4d771bF518345036A30Fd5388366,2301527212534046000000,3409568523289559000000,0,5339952417695473251028,-371143318128131748972,-371.1433181281318
Coinshares,0x0C643B0d9425ed28cFF10aF20D6E39C644c77a3d,6944841877798913000000,0,0,5412525720164609053497,-1532316157634303946503,-1532.316157634304
Coinshares 2,0xc32d7F8B71b6F79c9c2D0df200Fc76Fd6028D215,1499331582506889000000,0,0,1507094907407407407407,7763324900518407407,7.763324900518407
One Block,0xbf25F6F448F3715323c90c3E584C19d03775dEb1,2140407749250112500000,0,0,2135864197530864197530,-4543551719248302470,-4.543551719248303
Nascent,0x79d93cbf3583e62dd3edbddd1ee1121f8b07af81,1395040395403753000000,0,0,1379602623456790123456,-15437771946962876544,-15.437771946962876
Jason Wang,0x0DBBFa0960F1C54E6039350ba2e3bf014746Bdd2,1438561028971937000000,0,0,1439027777777777777777,466748805840777777,0.46674880584077777
Spartan Group,0x0DC874Fb5260Bd8749e6e98fd95d161b7605774D,1440655790040177000000,0,0,1441629372427983539094,973582387806539094,0.9735823878065392
Manu Andorra,0x6912a141AD1566F5DA7515F522BB756A5A9E85e9,223177122635178600000,0,0,224244020061728395061,1066897426549795061,1.066897426549795
DeFi User 0,0xBdCA5cCB951cbACE4aCB7D92713E2A2d3432AC49,21929511268462290000,29407417410315500000,0,51305272633744855967,-31656045032934033,-0.03165604503293403
DeFi User 2,0x87e1D2fF8d84Fd650a54262839e266610268E3F5,76125377583781898750,649207084143153221250,0,724873710776748971193,-458750950186148807,-0.4587509501861488
DeFi User 3,0x2993E1D02b11377f44455AEdc618C705acbb0591,18475592207706900000,238306436128802150000,0,256616898148148148148,-165130188360901852,-0.16513018836090185
DeFi User 4,0xaD4e7250DA56EB33E1a376250b916526c81Cf1EA,2942093914868260290,20515261875032765960,0,23443053883744855967,-14301906156170283,-0.014301906156170285
DeFi User 5,0xF8E58BB6d7897441C2B39D0FDF4D72A2635d8F0a,46568976689459850000,210455629060450350000,0,256824974279835390946,-199631470074809054,-0.19963147007480905
DeFi User 6,0x3d9e61a35370a022f02260d78B7C8b67a1759cd4,80734528165258443881,357937253085447901314,0,367262786488878239453,-71408994761828105742,-71.40899476182811
DeFi User 7,0xe15cf0EDe90e9059188fc8439014D1fFE29E0bbc,32624501366059058160,147145169524121118729,0,179653666531391356738,-116004358788820151,-0.11600435878882015
DeFi User 9,0xF9fe05eA33742FA32caFb347920b7d53277A73DD,1370584954024576200000,3607189379559076550000,0,4950727816358024691358,-27046517225628058642,-27.046517225628058
DeFi User 10,0x7AEC08EF2C0500B68dF3A55a7727813EF79AeB13,4194753377842915260000,11049820667576351370000,0,15163210648148148148148,-81363397271118481852,-81.36339727111847
DeFi User 12,0xF9107317B0fF77eD5b7ADea15e50514A3564002B,4858365557612538385,15163943360714101645,0,20006740631430041152,-15568286896598878,-0.015568286896598877
DeFi User 13,0x5D7de07FD214f0Ad436E808B0fFe338fCa02043f,54027336572061600000,2001833003243926800000,0,2054323045267489711934,-1537294548498688066,-1.537294548498688
DeFi User 14,0x9f82226AAe1f6900047DA20c30dc836587157E03,27859023889193821010,100454891309653872365,0,128217523900462962962,-96391298384730413,-0.09639129838473041
DeFi User 15,0xf69EA6646cf682262E84cd7c67133eac59cef07b,249760181229871681792,677614863732836671486,0,875457023127271386316,-51918021835436966962,-51.91802183543697
DeFi User 16,0x10eaACA8E8B5Cf1eD0949e060790C62D6F8f39b8,602213990100324338011,324828565582867252854,0,875140693483033604681,-51901862200157986184,-51.901862200157986
DeFi User 17,0xEa5Ed53ec1244a1BAF72086c6f5726b1Dd913FdC,125867716214308550767,974541231957829140127,0,1038802289961081625514,-61606658211056065380,-61.606658211056065
DeFi User 18,0x85548b1405CC1938F430bDef69a3e92fae17c11A,2771719657801270544,19596250385722226273,0,22354155537551440329,-13814505972056488,-0.013814505972056489
